ID,Gene,,,,,
UniProtKB:P22003,BMP5,,,,,
UniProtKB:P12644,BMP4,,,,,
UniProtKB:P02818,BGLAP,,,,,
UniProtKB:O00300,TNFRSF11B,,,,,
UniProtKB:P13686,ACP5,,,,,
UniProtKB:Q9NY59,SMPD3,,,,,
UniProtKB:P13631,RARG,,,,,
UniProtKB:O60565,GREM1,,,,,
UniProtKB:Q16610,ECM1,,,,,
UniProtKB:Q86YN6,PPARGC1B,,,,,
UniProtKB:P21246,PTN,,,,,
UniProtKB:Q9H295,DCSTAMP,,,,,
UniProtKB:O15357,INPPL1,,,,,
UniProtKB:P02788,LTF,,,,,
UniProtKB:Q14623,IHH,,,,,
UniProtKB:O14788,TNFSF11,,,,,
UniProtKB:O00470,MEIS1,,,,,
UniProtKB:P07359,GP1BA,,,,,
UniProtKB:P37173,TGFBR2,,,,,
UniProtKB:P02461,COL3A1,,,,,
UniProtKB:P48436,SOX9,,,,,
UniProtKB:P10276,RARA,,,,,
UniProtKB:Q99572,P2RX7,,,,,
UniProtKB:P50281,MMP14,,,,,
UniProtKB:P17252,PRKCA,,,,,
UniProtKB:P38571,LIPA,,,,,
UniProtKB:Q05516,ZBTB16,,,,,
UniProtKB:Q9HBA0,TRPV4,,,,,
UniProtKB:O00744,WNT10B,,,,,
UniProtKB:P57087,JAM2,,,,,
UniProtKB:Q9NR63,CYP26B1,,,,,
UniProtKB:P17542,TAL1,,,,,
UniProtKB:P27037,ACVR2A,,,,,
UniProtKB:P41159,LEP,,,,,
UniProtKB:P28300,LOX,,,,,
UniProtKB:P04920,SLC4A2,,,,,
UniProtKB:Q9BXB1,LGR4,,,,,
UniProtKB:P13232,IL7,,,,,
UniProtKB:Q06413,MEF2C,,,,,
UniProtKB:P12931,SRC,,,,,
UniProtKB:P02786,TFRC,,,,,
UniProtKB:P15976,GATA1,,,,,
UniProtKB:P78325,ADAM8,,,,,
UniProtKB:Q9UJU2,LEF1,,,,,
UniProtKB:P21580,TNFAIP3,,,,,
UniProtKB:Q8N474,SFRP1,,,,,
UniProtKB:P07333,CSF1R,,,,,
UniProtKB:Q8IX07,ZFPM1,,,,,
UniProtKB:Q9NYY3,PLK2,,,,,
UniProtKB:P10071,GLI3,,,,,
UniProtKB:P43405,SYK,,,,,
UniProtKB:Q15672,TWIST1,,,,,
UniProtKB:P05106,ITGB3,,,,,
UniProtKB:P10600,TGFB3,,,,,
UniProtKB:Q06124,PTPN11,,,,,
UniProtKB:Q9H334,FOXP1,,,,,
UniProtKB:P10147,CCL3,,,,,
UniProtKB:P29350,PTPN6,,,,,
UniProtKB:P05231,IL6,,,,,
UniProtKB:O96028,NSD2,,,,,
UniProtKB:P48745,CCN3,,,,,
UniProtKB:Q14289,PTK2B,,,,,
UniProtKB:Q9BX67,JAM3,,,,,
UniProtKB:P10721,KIT,,,,,
UniProtKB:P84022,SMAD3,,,,,
UniProtKB:Q9Y4K3,TRAF6,,,,,
UniProtKB:P21359,NF1,,,,,
UniProtKB:Q15648,MED1,,,,,
UniProtKB:Q09472,EP300,,,,,
UniProtKB:Q01974,ROR2,,,,,
UniProtKB:P09769,FGR,,,,,
UniProtKB:Q16665,HIF1A,,,,,
UniProtKB:P61586,RHOA,,,,,
UniProtKB:Q04721,NOTCH2,,,,,
UniProtKB:Q92830,KAT2A,,,,,
UniProtKB:P80108,GPLD1,,,,,
UniProtKB:P21741,MDK,,,,,
UniProtKB:P35222,CTNNB1,,,,,
UniProtKB:Q16539,MAPK14,,,,,
UniProtKB:O60603,TLR2,,,,,
UniProtKB:Q9H257,CARD9,,,,,
UniProtKB:Q16552,IL17A,,,,,
UniProtKB:P07333,CSF1R,,,,,
UniProtKB:Q9NRJ3,CCL28,,,,,
UniProtKB:Q96RI1,NR1H4,,,,,
UniProtKB:P14174,MIF,,,,,
UniProtKB:Q8NES8,DEFB124,,,,,
UniProtKB:P49238,CX3CR1,,,,,
UniProtKB:Q969V5,MUL1,,,,,
UniProtKB:O43353,RIPK2,,,,,
UniProtKB:P49682,CXCR3,,,,,
UniProtKB:O43927,CXCL13,,,,,
UniProtKB:O43918,AIRE,,,,,
UniProtKB:O95747,OXSR1,,,,,
UniProtKB:Q16665,HIF1A,,,,,
UniProtKB:P32248,CCR7,,,,,
UniProtKB:P32246,CCR1,,,,,
UniProtKB:Q8NHJ6,LILRB4,,,,,
UniProtKB:Q9UEW8,STK39,,,,,
UniProtKB:Q9UIB8,CD84,,,,,
UniProtKB:O43623,SNAI2,,,,,
UniProtKB:Q9UBD3,XCL2,,,,,
UniProtKB:P05305,EDN1,,,,,
UniProtKB:Q9H334,FOXP1,,,,,
UniProtKB:Q96J02,ITCH,,,,,
UniProtKB:Q9Y6D0,SELENOK,,,,,
UniProtKB:O95760,IL33,,,,,
UniProtKB:P05231,IL6,,,,,
UniProtKB:Q9ULZ3,PYCARD,,,,,
UniProtKB:P42224,STAT1,,,,,
UniProtKB:Q9Y2L9,LRCH1,,,,,
UniProtKB:P10147,CCL3,,,,,
UniProtKB:P10145,CXCL8,,,,,
UniProtKB:Q5D1E8,ZC3H12A,,,,,
UniProtKB:O75159,SOCS5,,,,,
UniProtKB:Q8NF50,DOCK8,,,,,
UniProtKB:P29275,ADORA2B,,,,,
UniProtKB:Q9H4A3,WNK1,,,,,
UniProtKB:Q9Y4F9,RIPOR2,,,,,
UniProtKB:P22362,CCL1,,,,,
UniProtKB:P22301,IL10,,,,,
UniProtKB:Q9NR96,TLR9,,,,,
UniProtKB:Q9Y2J8,PADI2,,,,,
UniProtKB:P07948,LYN,,,,,
UniProtKB:Q9NYK1,TLR7,,,,,
UniProtKB:P09601,HMOX1,,,,,
UniProtKB:P00973,OAS1,,,,,
UniProtKB:O94813,SLIT2,,,,,
UniProtKB:P51684,CCR6,,,,,
UniProtKB:Q8TDQ0,HAVCR2,,,,,
UniProtKB:Q15109,AGER,,,,,
UniProtKB:P48061,CXCL12,,,,,
UniProtKB:P78324,SIRPA,,,,,
UniProtKB:O15553,MEFV,,,,,
UniProtKB:O15552,FFAR2,,,,,
UniProtKB:Q96RT1,ERBIN,,,,,
UniProtKB:P78556,CCL20,,,,,
UniProtKB:P78540,ARG2,,,,,
UniProtKB:P78536,ADAM17,,,,,
UniProtKB:P08887,IL6R,,,,,
UniProtKB:P13501,CCL5,,,,,
UniProtKB:P13500,CCL2,,,,,
UniProtKB:O00206,TLR4,,,,,
UniProtKB:P40238,MPL,,,,,
UniProtKB:P40225,THPO,,,,,
UniProtKB:P18428,LBP,,,,,
UniProtKB:P04233,CD74,,,,,
UniProtKB:Q96PD4,IL17F,,,,,
UniProtKB:P28300,LOX,,,,,
UniProtKB:Q15848,ADIPOQ,,,,,
UniProtKB:Q99836,MYD88,,,,,
UniProtKB:Q99828,CIB1,,,,,
UniProtKB:P58753,TIRAP,,,,,
UniProtKB:Q99788,CMKLR1,,,,,
UniProtKB:Q6UWK7,GPR15LG,,,,,
UniProtKB:Q8IX07,ZFPM1,,,,,
UniProtKB:O00182,LGALS9,,,,,
UniProtKB:O00175,CCL24,,,,,
UniProtKB:Q8IUC6,TICAM1,,,,,
UniProtKB:P61586,RHOA,,,,,
UniProtKB:P78423,CX3CL1,,,,,
UniProtKB:Q13304,GPR17,,,,,
UniProtKB:Q96T37,RBM15,,,,,
UniProtKB:P80162,CXCL6,,,,,
UniProtKB:P80098,CCL7,,,,,
UniProtKB:Q9BXN2,CLEC7A,,,,,
UniProtKB:P41221,WNT5A,,,,,
UniProtKB:Q9HC29,NOD2,,,,,
UniProtKB:Q9HBA0,TRPV4,,,,,
UniProtKB:Q99731,CCL19,,,,,
UniProtKB:O00571,DDX3X,,,,,
UniProtKB:P01031,C5,,,,,
UniProtKB:P28562,DUSP1,,,,,
UniProtKB:Q9HCY8,S100A14,,,,,
UniProtKB:P23510,TNFSF4,,,,,
UniProtKB:P13236,CCL4,,,,,
UniProtKB:P13232,IL7,,,,,
UniProtKB:Q7Z5A8,TAFA3,,,,,
UniProtKB:P43405,SYK,,,,,
UniProtKB:Q6UXB2,CXCL17,,,,,
UniProtKB:P26651,ZFP36,,,,,
UniProtKB:P01375,TNF,,,,,
UniProtKB:Q9Y6K5,OAS3,,,,,
UniProtKB:P41597,CCR2,,,,,
UniProtKB:P47992,XCL1,,,,,
UniProtKB:P01023,A2M,,,,,
UniProtKB:P01584,IL1B,,,,,
UniProtKB:P01579,IFNG,,,,,
UniProtKB:P08246,ELANE,,,,,
UniProtKB:P55085,F2RL1,,,,,
UniProtKB:O00585,CCL21,,,,,
UniProtKB:Q7Z434,MAVS,,,,,
UniProtKB:P55008,AIF1,,,,,
UniProtKB:Q15672,TWIST1,,,,,
UniProtKB:P02776,PF4,,,,,
UniProtKB:P05106,ITGB3,,,,,
UniProtKB:O14843,FFAR3,,,,,
UniProtKB:P05067,APP,,,,,
UniProtKB:P05090,APOD,,,,,
UniProtKB:Q14289,PTK2B,,,,,
UniProtKB:Q969D9,TSLP,,,,,
UniProtKB:Q14116,IL18,,,,,
UniProtKB:P25063,CD24,,,,,
UniProtKB:P25025,CXCR2,,,,,
UniProtKB:P13612,ITGA4,,,,,
UniProtKB:Q9NZC2,TREM2,,,,,
UniProtKB:O15455,TLR3,,,,,
UniProtKB:O15444,CCL25,,,,,
UniProtKB:P02778,CXCL10,,,,,
UniProtKB:P09429,HMGB1,,,,,
UniProtKB:P24394,IL4R,,,,,
UniProtKB:Q01638,IL1RL1,,,,,
UniProtKB:K9M1U5,IFNL4,,,,,
